ID,heading,sortid,path,ID,heading,sortid,path
1,*****,1.5,14/0001/A1100,1,*****,1.5,14/0001/A1100
2,A,2.5,14/0001/B4491,2,A,2.5,14/0001/B4491
3,AALAS,3.5,14/0001/A1002,3,AALAS,3.5,14/0001/A1002
4,A.B.C.,4.5,14/0001/A1003,4,A.B.C.,4.5,14/0001/A1003
5,A.C.I.,5.5,14/0001/A1004,5,A.C.I.,5.5,14/0001/A1004
6,A-D,6.5,14/0001/A1005,6,A-D,6.5,14/0001/A1005
7,AGPA,7.5,14/0001/A1006,7,AGPA,7.5,14/0001/A1006
8,AID,8.5,14/0001/A1007,8,AID,8.5,14/0001/A1007
9,AILA,9.5,14/0002/A1008,9,AILA,9.5,14/0002/A1008
10,A.L.,10.5,14/0002/A1009,10,A.L.,10.5,14/0002/A1009
11,A.M.,11.5,14/0002/A1010,11,A.M.,11.5,14/0002/A1010